group	x	y	clickSelects
450	-44.75	48.25	36
450	-44.75	48.75	36
450	-44.25	48.75	36
450	-43.75	48.25	36
450	-42.75	48.25	36
450	-42.25	47.75	36
450	-42.25	47.25	36
450	-43.75	47.25	36
450	-44.75	48.25	36
451	-44.75	45.25	36
451	-44.75	45.75	36
451	-44.25	45.75	36
451	-44.25	45.25	36
451	-44.75	45.25	36
452	-44.75	40.25	36
452	-44.75	40.75	36
452	-42.75	40.75	36
452	-42.75	41.75	36
452	-41.75	42.75	36
452	-41.75	43.75	36
452	-40.75	44.75	36
452	-40.25	44.75	36
452	-39.75	44.25	36
452	-39.25	44.25	36
452	-38.75	44.75	36
452	-38.25	44.75	36
452	-38.25	41.75	36
452	-37.25	40.75	36
452	-37.25	40.25	36
452	-38.25	40.25	36
452	-38.75	39.75	36
452	-38.75	39.25	36
452	-38.25	38.75	36
452	-38.25	38.25	36
452	-39.25	38.25	36
452	-39.25	37.25	36
452	-39.75	36.75	36
452	-40.75	36.75	36
452	-40.75	35.75	36
452	-41.75	35.75	36
452	-41.75	35.25	36
452	-41.25	34.75	36
452	-41.25	34.25	36
452	-42.25	34.25	36
452	-43.75	32.75	36
452	-44.25	32.75	36
452	-44.25	34.75	36
452	-44.75	35.25	36
452	-44.75	40.25	36
453	-34.25	48.75	36
453	-34.25	49.25	36
453	-33.75	49.25	36
453	-33.25	48.75	36
453	-33.25	48.25	36
453	-33.75	48.25	36
453	-34.25	48.75	36
454	-35.25	43.75	36
454	-35.25	44.25	36
454	-34.75	44.25	36
454	-32.75	42.25	36
454	-32.25	42.25	36
454	-32.25	43.75	36
454	-33.25	43.75	36
454	-33.75	44.25	36
454	-33.75	44.75	36
454	-32.75	45.75	36
454	-32.25	45.75	36
454	-32.25	44.75	36
454	-31.25	44.75	36
454	-30.75	44.25	36
454	-30.25	44.25	36
454	-29.75	44.75	36
454	-29.25	44.75	36
454	-27.75	43.25	36
454	-27.25	43.25	36
454	-27.25	43.75	36
454	-27.75	44.25	36
454	-27.75	44.75	36
454	-27.25	45.25	36
454	-27.25	45.75	36
454	-27.75	46.25	36
454	-28.25	46.25	36
454	-28.25	45.25	36
454	-28.75	45.25	36
454	-29.25	45.75	36
454	-29.25	46.25	36
454	-28.25	47.25	36
454	-28.25	47.75	36
454	-28.75	48.25	36
454	-28.75	48.75	36
454	-27.75	48.75	36
454	-27.25	49.25	36
454	-26.75	49.25	36
454	-26.25	48.75	36
454	-25.75	48.75	36
454	-25.25	49.25	36
454	-24.75	49.25	36
454	-24.25	48.75	36
