group	label	showSelected1
1	Cluster 2: 2086/2755 pixels shown, logFC -2.4 to 2.3, log10(p) 0.0 to 10.2	2
1	Cluster 16: 890/6126 pixels shown, logFC -3.2 to 2.1, log10(p) 0.0 to 3.9	16
1	Cluster 22: 103/4952 pixels shown, logFC -1.7 to 2.5, log10(p) 0.0 to 12.0	22
1	Cluster 25: 7/7 pixels shown, logFC 0.6 to 1.1, log10(p) 4.1 to 16.4	25
1	Cluster 33: 1191/7558 pixels shown, logFC -2.3 to 3.2, log10(p) 0.0 to 5.3	33
1	Cluster 54: 42/61 pixels shown, logFC -1.2 to -0.2, log10(p) 0.3 to 7.4	54
1	Cluster 70: 9/9 pixels shown, logFC -1.4 to -0.9, log10(p) 5.3 to 18.0	70
1	Cluster 109: 31/31 pixels shown, logFC -1.1 to -0.4, log10(p) 1.8 to 9.4	109
1	Cluster 142: 48/48 pixels shown, logFC -1.1 to -0.2, log10(p) 0.4 to 10.1	142
1	Cluster 150: 188/188 pixels shown, logFC -0.4 to 0.9, log10(p) 0.0 to 9.0	150
1	Cluster 184: 27/27 pixels shown, logFC -2.1 to 0.2, log10(p) 0.0 to 2.8	184
1	Cluster 262: 65/65 pixels shown, logFC -1.0 to 2.1, log10(p) 0.0 to 2.2	262
1	Cluster 383: 212/212 pixels shown, logFC -0.9 to 0.3, log10(p) 0.0 to 4.1	383
1	Cluster 405: 1/1 pixels shown, logFC -3.3 to -3.3, log10(p) 3.0 to 3.0	405
