fill	x	y	xmin	xmax	ymin	ymax
#ACACAC	3.75	2.75	3.625	3.875	2.625	2.875
#FFFFFF	3.5	1.5	3.375	3.625	1.375	1.625
#959595	3.25	1.5	3.125	3.375	1.375	1.625
#ACACAC	3.25	2	3.125	3.375	1.875	2.125
#858585	2.75	1	2.625	2.875	0.875	1.125
#747474	2.5	0	2.375	2.625	-0.125	0.125
#FFFFFF	3.75	2	3.625	3.875	1.875	2.125
#6F6F6F	2.5	1	2.375	2.625	0.875	1.125
#D5D5D5	3	1.5	2.875	3.125	1.375	1.625
#BDBDBD	3.5	2	3.375	3.625	1.875	2.125
#FFFFFF	3.75	3.25	3.625	3.875	3.125	3.375
#FFFFFF	3.5	2.25	3.375	3.625	2.125	2.375
#D5D5D5	2.75	2	2.625	2.875	1.875	2.125
#6F6F6F	2.25	1	2.125	2.375	0.875	1.125
#D5D5D5	3.75	2.5	3.625	3.875	2.375	2.625
#4D4D4D	2	0	1.875	2.125	-0.125	0.125
#5A5A5A	1.25	0	1.125	1.375	-0.125	0.125
#3A3A3A	0.75	0	0.625	0.875	-0.125	0.125
#858585	2	1	1.875	2.125	0.875	1.125
#FFFFFF	4	2.5	3.875	4.125	2.375	2.625
#D5D5D5	3	2	2.875	3.125	1.875	2.125
#5A5A5A	1.75	0	1.625	1.875	-0.125	0.125
#797979	2.25	0	2.125	2.375	-0.125	0.125
#575757	1.5	0	1.375	1.625	-0.125	0.125
#959595	1.75	1	1.625	1.875	0.875	1.125
#BDBDBD	2.75	0	2.625	2.875	-0.125	0.125
#9F9F9F	1.25	1	1.125	1.375	0.875	1.125
#474747	0.25	0	0.125	0.375	-0.125	0.125
#D5D5D5	3	1	2.875	3.125	0.875	1.125
#5D5D5D	1	0	0.875	1.125	-0.125	0.125
#BDBDBD	1.5	1	1.375	1.625	0.875	1.125
#3A3A3A	0.5	0	0.375	0.625	-0.125	0.125
#FFFFFF	2.75	1.5	2.625	2.875	1.375	1.625
#000000	0	0	-0.125	0.125	-0.125	0.125
#FFFFFF	1.5	1.5	1.375	1.625	1.375	1.625
#FFFFFF	1.75	2	1.625	1.875	1.875	2.125
#D5D5D5	1.5	2	1.375	1.625	1.875	2.125
#FFFFFF	0.75	1	0.625	0.875	0.875	1.125
#FFFFFF	1	1	0.875	1.125	0.875	1.125
